"Tingle, Tim",Title,Call_Number,Cumu_Circ,Last_Circ_Date,Weed,Date,weed_for_condition,Author_Cultural_Identity,BH_Source_Note_Score,Tier_Score,Country,Region,Source,Award,Fiction_NonFiction,Explore
"Arnold, Katya",Baba Yaga : a Russian folktale /,J 398.20947 R92ARNBY,31,7/14/2023,,1993,,,,,Russian,Russia,,,NonFiction,
Demi,The Firebird /,J 398.20947 R92DEF,34,8/3/2022,,1994,,,,,Russian,Russia,,,NonFiction,
Demi,The magic gold fish : a Russian folktale /,J 398.20947 R92DEM,54,6/12/2023,,1995,,,,,Russian,Russia,,,NonFiction,
"Ginsburg, Mirra",Clay boy /,J 398.20947 R92GIC,26,4/14/2023,,1997,,,,,Russian,Russia,,,NonFiction,
"Lurie, Alison",The black geese : a Baba Yaga story from Russia /,J 398.20947 R92LUB,27,4/14/2023,,1999,,,,,Russian,Russia,,,NonFiction,
"Mayer, Marianna",Baba Yaga and Vasilisa the Brave /,J 398.20947 R92MAYB,37,4/14/2023,,1994,,,,,Russian,Russia,,,NonFiction,
"Ransome, Arthur, 1884-1967",The fool of the world and the flying ship : a Russian tale /,J 398.20947 R92RAF,51,8/14/2023,,1968,,,,,Russian,Russia,,Caldecott,NonFiction,
"Tolstoy, Aleksey Nikolayevich, graf, 1883-1945",The gigantic turnip /,J 398.20947 R92TOLG,44,45167,,1998,,,,,Russian,Russia,,,NonFiction,
"Kimmel, Eric A.",The birds' gift : a Ukrainian Easter story /,J 398.20947 UK7KIMB,28,4/12/2023,,1999,,,,,Ukraine,Europe,,,NonFiction,
"Kimmel, Eric A.",Sirko and the wolf : a Ukrainian tale /,J 398.20947 UK7KIMS,31,8/3/2022,,1997,,,,,Ukraine,Europe,,,NonFiction,
"Long, Sylvia",Sylvia Long's Thumbelina.,J 398.20948 D417THL,11,4/5/2023,,2010,,,,,Denmark,Europe,HC Andersen,,NonFiction,
"Asbjørnsen, Peter Christen, 1812-1885",D'Aulaires' book of Norwegian folktales /,J 398.20948 N83ASD,34,12/9/2022,,2016,,,,,Norway,Europe,,,NonFiction,
"Atwell, David Lewis",The day Hans got his way : a Norwegian folktale /,J 398.20948 N83ATD,37,8/17/2023,,1992,,,,,Norway,Europe,,,NonFiction,
"Yolen, Jane",Sister Bear : a Norse tale /,J 398.20948 N83YOS,23,7/16/2023,,2011,,,,,Norway,Europe,,,NonFiction,
"Fisher, Leonard Everett",William Tell /,J 398.20949 SW68FIW,18,3/17/2023,,1996,,,,,Sweden,Europe,,,NonFiction,
"DePaola, Tomie, 1934-2020",Christopher : the holy giant /,J 398.2095 AR11DEC,22,5/10/2023,,1994,,,,,Mid East,Middle East,,,NonFiction,
"Napoli, Donna Jo, 1948-","Tales from the Arabian nights : stories of adventure, magic, love, and betrayal /",J 398.2095 Ar11nat 2016,22,4/27/2023,,2016,,,,,Mid East,Middle East,,,NonFiction,
,The Arabian nights : their best-known tales /,J 398.2095 Ar11wig 2019,10,6/8/2023,,2019,,,4,,Mid East,Middle East,,,NonFiction,
"Bouchard, Dave",The dragon new year : a Chinese legend /,J 398.20951 C441BOUD,20,1/29/2023,,1999,,,4,,China,Asia,,,NonFiction,1
"Casey, Dawn, 1975-",The great race : the story of the Chinese zodiac /,J 398.20951 C441CASEG,31,2/3/2023,,2006,,,1,1,China,Asia,,,NonFiction,1
"Chen, Jiang Hong, 1963-",The magic horse of Han Gan /,J 398.20951 C441CHENM,24,8/3/2022,,2006,,x,c/o,,China,Asia,,,NonFiction,1
Demi,The donkey and the rock /,J 398.20951 C441DED,37,3/30/2023,,1999,,,2,4,China,Asia,,,NonFiction,1
Demi,The dragon's tale and other animal fables of the Chinese zodiac /,J 398.20951 C441DEDR,21,2/12/2023,,1996,,,1,4,China,Asia,,,NonFiction,1
Demi,The emperor's new clothes : a tale set in China /,J 398.20951 C441DEE,31,6/30/2023,,2000,,,1,4,China,Asia,,,NonFiction,1
Demi,The greatest treasure /,J 398.20951 C441DEG,11,3/30/2023,,1998,,,1,4,China,Asia,,,NonFiction,1
Demi,The magic tapestry : a Chinese folktale /,J 398.20951 C441DEM,36,4/23/2023,,1994,,,1,4,China,Asia,,,NonFiction,1
"Hume, Lotta Carswell",Favorite children's stories from China and Tibet /,J 398.20951 C441HUF,39,8/3/2022,,1962,,,1,3,China,Asia,,,NonFiction,1
"Yacowitz, Caryn",The jade stone : a chinese folktale /,J 398.20951 C441YAJ,21,8/3/2022,,1992,,,2,3,China,Asia,,,NonFiction,1
"Yep, Laurence, 1948-",The dragon prince : a Chinese Beauty & the beast tale /,J 398.20951 C441YED,34,3/8/2023,,1997,,,1,5,China,Asia,,,NonFiction,1
"Yip, Mingmei",Chinese children's favorite stories /,J 398.20951 C441YIC,69,3/22/2023,,2004,,x,1,5,China,Asia,,,NonFiction,1
"Young, Ed.",Cat and Rat : the legend of the Chinese zodiac /,J 398.20951 C441yoc 1995,1,1/23/2023,,1995,,,1,5,China,Asia,,,NonFiction,1
"Yolen, Jane",The emperor and the kite /,J 398.20951 C441yoe 1988,4,3/6/2023,,1988,,,1,3,China,Asia,,Caldecott,NonFiction,1
"Young, Ed",The lost horse : a Chinese folktale /,J 398.20951 C441yolh 1998,1,5/9/2023,,1998,,x,1,5,China,Asia,,,NonFiction,1
"Young, Ed",Lon Po Po : a red-riding hood story from China /,J 398.20951 C441YOLP,93,1/4/2023,,1989,,x,1,5,China,Asia,Grimm,Caldecott,NonFiction,1
"Climo, Shirley",The Korean Cinderella /,J 398.20951 K841CLK,54,44999,,1993,,,1,1,Korea,Asia,,,NonFiction,1
"Ginsburg, Mirra",The Chinese mirror /,J 398.20951 K841GIC,18,8/3/2022,,1988,,,c/o,1,Korea,Asia,,,NonFiction,1
"Han, Oki S.",Kongi and Potgi : a Cinderella story from Korea /,J 398.20951 K841HAK,63,45126,,1996,,x,1,5,Korea,Asia,,,NonFiction,1
"Kim, So-un, 1907-1981","Korean children's favorite stories : fables, myths and fairy tales /",J 398.20951 K841kikc 2019,4,8/3/2022,,2004,,x,1,5,Korea,Asia,,,NonFiction,1
